timestamp,Left_Heel,Left_Middle,Left_Top,Right_Heel,Right_Middle,Right_Top
1734602910.424008,0,2665,193,260,236,288
1734602910.488964,1338,369,0,65,90,146
1734602910.5414407,1668,0,265,0,0,50
1734602910.7264931,3941,285,2103,257,484,303
1734602910.7899787,4095,288,2247,1489,1277,0
1734602910.8467567,4095,279,2320,2544,2094,15
1734602910.9105291,4095,0,2277,0,162,1013
1734602910.9736516,4095,337,2379,0,345,3892
1734602911.0221515,4095,368,2337,0,321,3846
1734602911.087511,1971,33,764,0,0,3922
1734602911.1525784,1987,14,816,969,1022,1015
1734602911.207565,1659,0,443,0,48,167
1734602911.274079,198,2533,118,57,0,154
1734602911.326418,0,3319,235,137,25,216
1734602911.502243,0,3277,260,16,0,91
1734602911.5730305,0,3401,297,0,0,95
1734602911.741884,0,3024,253,0,133,8
1734602911.8670444,0,3347,311,305,166,288
1734602911.934443,0,3377,303,0,28,3
1734602911.990909,0,3387,283,41,59,19
1734602912.0527658,143,1949,0,0,0,0
1734602912.1714332,173,3156,159,0,169,109
1734602912.2331824,184,3252,167,0,164,1783
1734602912.2928567,139,3250,169,98,55,146
1734602912.399573,41,3221,170,0,154,64
1734602912.4736383,169,3259,161,108,0,133
1734602912.7028096,656,1230,0,3426,2679,86
1734602912.822429,234,3302,161,2125,1721,0
1734602913.012928,1327,0,769,1668,1310,0
1734602913.070269,2608,183,1740,123,0,198
1734602913.130801,3703,0,2123,375,0,424
1734602913.1832988,1232,545,149,0,29,76
1734602913.2431693,954,2559,46,0,23,48
1734602913.3073292,866,3300,159,71,0,163
1734602913.371094,921,3280,176,111,0,168
1734602913.4191325,969,3267,174,0,0,83
1734602913.5441852,462,0,544,83,0,172
1734602913.673628,0,21,97,51,99,125
1734602913.7332058,0,944,76,26,112,110
1734602913.788974,0,1296,110,327,0,336
1734602913.8529723,0,1718,147,16,146,73
1734602913.913589,0,1587,141,0,155,35
1734602914.030765,0,1637,129,0,18,34
1734602914.0929334,0,1664,130,0,16,16
1734602914.1393185,0,1511,118,0,144,38
1734602914.2115972,0,1427,100,215,172,234
1734602914.2711356,0,3262,292,272,93,272
1734602914.3318598,0,3361,295,69,168,95
1734602914.3928866,0,3364,298,47,77,80
1734602914.4407308,0,3379,296,240,112,240
1734602914.5718684,0,3371,306,0,0,581
1734602914.6320753,0,3267,307,0,142,3706
1734602914.6875277,0,3253,295,0,186,3812
1734602914.7531369,0,2747,230,0,41,3758
1734602914.8130445,0,2455,198,0,0,3735
1734602914.8721187,0,1758,138,0,628,3614
1734602914.9908977,0,1229,93,228,0,290
1734602915.051344,0,3303,171,64,0,145
1734602915.111084,38,3321,167,10,0,106
1734602915.1729803,126,3330,165,75,0,144
1734602915.2335646,237,3339,163,112,130,159
1734602915.29185,345,3345,163,230,0,246
1734602915.3531618,466,3339,165,271,0,327
1734602915.4009488,482,3298,159,58,161,85
1734602915.4735804,633,3358,165,0,147,16
1734602915.5331903,704,3332,167,48,192,113
1734602915.5927515,731,3344,166,603,355,567
1734602915.6509886,767,3312,169,85,0,166
1734602915.708707,800,3281,171,0,86,20
1734602915.7734842,766,0,314,128,143,173
1734602915.879307,704,0,368,14,43,64
1734602916.0070865,807,0,531,1485,1175,0
1734602916.0729787,1418,0,944,0,290,111
1734602916.1331637,1744,1,583,0,251,3822
1734602916.2523303,717,240,0,0,353,3875
1734602916.3116474,2384,192,1587,0,5,126
1734602916.3732204,4095,412,2831,0,47,16
1734602916.422817,4095,427,2914,0,16,84
1734602916.5521111,1938,0,1830,0,0,47
1734602916.6079009,2984,453,2941,0,24,71
1734602916.7333982,4095,479,3421,627,0,591
1734602916.792647,4095,437,3230,128,44,169
1734602916.8429244,4095,445,3059,188,77,219
1734602916.906386,3440,0,2412,71,353,110
1734602916.9711823,528,669,0,683,581,607
1734602917.0927603,523,3319,164,0,80,32
1734602917.1448512,652,3315,155,0,0,0
1734602917.210571,771,3312,170,54,69,90
1734602917.2737875,368,785,0,0,139,5
1734602917.3253832,209,272,0,27,73,67
1734602917.4457598,698,61,14,2427,1922,0
1734602917.5128076,711,3107,128,1149,1072,0
1734602917.5746624,609,1680,0,0,800,3690
1734602917.6327088,4095,0,2609,0,0,3887
1734602917.688767,4095,433,2919,0,635,3861
1734602917.7522168,3412,545,2677,28,0,89
1734602917.8129144,0,3245,164,113,11,174
1734602917.9324017,0,3281,173,0,2,46
1734602918.042662,1171,2431,33,624,0,623
1734602918.1003017,1235,2438,29,866,47,756
1734602918.1732726,1296,829,0,0,1127,58
