timestamp,Right_Heel,Right_Middle,Right_Top
1734603967.3322942,0,177,7
1734603967.3942587,0,190,16
1734603967.440481,0,154,0
1734603967.5119457,0,0,0
1734603967.5765023,4095,3387,33
1734603967.63261,1217,1394,0
1734603967.694801,1948,2234,16
1734603967.752363,1155,411,0
1734603968.0528533,1041,1090,0
1734603968.0546021,1019,620,0
1734603968.1100593,877,852,0
1734603968.1739023,27,39,183
1734603968.2297962,0,39,112
1734603968.2951856,0,16,106
1734603968.406055,0,0,107
1734603968.581972,612,218,0
1734603968.7153184,300,253,55
1734603968.7686853,149,115,0
1734603968.89462,86,43,0
1734603968.9432542,80,69,0
1734603969.070577,1200,435,0
1734603969.1320617,1118,441,228
1734603969.2531343,543,62,52
1734603969.314709,266,0,0
1734603969.3704746,0,788,191
1734603969.4817936,0,608,39
1734603969.6082122,0,128,133
1734603969.7283843,574,0,470
1734603969.8560834,93,105,0
1734603969.9142737,73,101,0
1734603969.9759836,55,96,0
1734603970.023477,36,91,0
1734603970.0947258,37,94,0
1734603970.2147787,0,93,0
1734603970.216071,0,130,0
1734603970.3285773,0,145,0
1734603970.38533,0,193,5
1734603970.4577177,0,228,35
1734603970.5064495,0,251,62
1734603970.5752263,947,0,0
1734603970.6338403,1191,16,0
1734603970.6848307,1226,5,0
1734603970.7562742,1187,49,0
1734603970.8047068,1001,162,0
1734603970.8704708,427,240,0
1734603970.9877446,346,288,0
1734603971.057894,58,128,0
1734603971.1078236,0,122,0
1734603971.235273,158,166,0
1734603971.2921712,138,158,0
1734603971.3573134,32,101,0
1734603971.5252233,80,163,0
1734603971.6558957,76,87,0
1734603971.7128465,90,98,0
1734603971.77563,112,117,0
1734603971.8332815,80,91,0
1734603971.8948615,82,90,0
1734603971.9529965,0,277,96
1734603972.0136588,0,203,125
1734603972.066371,0,151,125
1734603972.1300724,0,64,267
1734603972.1948612,0,20,258
1734603972.253409,182,0,17
1734603972.3140361,0,93,43
1734603972.3745682,33,0,0
1734603972.4336052,0,75,436
1734603972.4958794,0,475,981
1734603972.5553527,0,511,3888
1734603972.675083,0,545,4015
1734603972.7309322,494,699,480
1734603972.7904556,430,650,433
1734603972.8545885,161,439,246
1734603972.9076536,0,256,80
1734603972.975841,0,115,0
1734603973.0357754,0,131,0
1734603973.0965972,0,132,0
1734603973.1558642,0,166,0
1734603973.215386,0,145,0
1734603973.276575,3329,0,0
1734603973.3325632,3318,3088,163
1734603973.381248,1666,937,1328
1734603973.4550307,1471,770,1591
1734603973.5089588,4095,3431,0
1734603973.5652554,0,711,3885
1734603973.629899,175,480,2761
1734603973.691561,0,592,3822
1734603973.8096,0,812,3359
1734603973.9308197,0,437,3813
1734603973.9924617,4095,3329,0
1734603974.0560827,65,3596,163
1734603974.1122632,294,317,82
1734603974.1762753,722,737,521
1734603974.2323182,158,277,82
1734603974.2810133,0,45,0
1734603974.3446414,0,49,0
1734603974.4745886,0,87,0
1734603974.5236764,0,123,0
1734603974.6545987,0,127,0
1734603974.711964,0,138,0
1734603974.7686262,0,124,0
1734603974.8283575,0,117,0
1734603974.9534242,0,119,0
